@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2_clustered

@attribute Instance_number numeric
@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
67,CdS2,2010,M,-0.159344,-1.65322,-0.820331,-2.603863,IT,'Non superato',-1.822323,cluster3
68,CdS2,2010,M,-3.998851,-1.65322,-1.126094,-2.603863,IT,'Non superato',-1.822323,cluster3
69,CdS2,2010,M,-0.611051,-1.00801,-1.126094,0.459528,TC,'Non superato',-1.822323,cluster3
70,CdS2,2010,F,-1.288611,-1.65322,-1.126094,-2.603863,LS,EsameMatematica,-1.822323,cluster3
71,CdS2,2010,M,-0.836904,-1.00801,-0.973212,0.341705,Altro,'Non superato',-1.822323,cluster3
72,CdS2,2010,M,0.066509,0.28241,0.249839,0.341705,LS,EsameMatematica,0.288857,cluster0
73,CdS2,2010,M,0.744069,1.411528,1.320008,0.812996,IT,EsameMatematica,0.93139,cluster1
74,CdS2,2010,M,-1.062758,-1.00801,-1.126094,-0.011763,TC,EsameMatematica,-0.078305,cluster2
75,CdS2,2010,F,0.292362,1.411528,1.320008,0.812996,LS,EsameMatematica,1.02318,cluster1
76,CdS2,2010,M,-0.159344,0.766318,0.555601,0.695173,IT,EsameMatematica,0.93139,cluster1
77,CdS2,2010,M,0.518216,-0.3628,-0.514568,0.577351,IT,'Non superato',-1.822323,cluster3
78,CdS2,2010,F,-0.836904,0.766318,0.708483,0.577351,Altro,EsameMatematica,0.288857,cluster0
79,CdS2,2010,F,-0.836904,-1.00801,-0.973212,-0.011763,TC,EsameMatematica,-0.170095,cluster2
80,CdS2,2010,M,-0.611051,0.28241,0.249839,0.223882,LC,EsameMatematica,0.380647,cluster0
81,CdS2,2010,F,0.066509,-1.00801,0.096957,0.930819,TC,EsameMatematica,0.93139,cluster2
82,CdS2,2010,M,-0.385198,-0.3628,-0.514568,0.341705,TC,EsameMatematica,0.380647,cluster2
83,CdS2,2010,M,0.066509,0.766318,0.555601,0.812996,IT,EsameMatematica,0.93139,cluster1
84,CdS2,2010,F,-0.159344,-1.00801,-0.820331,0.341705,LS,'Non superato',-1.822323,cluster3
85,CdS2,2010,M,-0.159344,1.411528,1.320008,0.577351,IT,EsameMatematica,0.747809,cluster1
86,CdS2,2010,F,-1.062758,0.28241,0.249839,0.459528,IT,EsameMatematica,0.747809,cluster0
87,CdS2,2010,F,-1.966171,-1.00801,-0.973212,-0.011763,LS,'Non superato',-1.822323,cluster3
88,CdS2,2010,M,0.292362,0.766318,0.708483,0.577351,LS,EsameMatematica,0.93139,cluster1
89,CdS2,2010,M,-0.385198,1.411528,1.320008,0.812996,LS,EsameMatematica,0.747809,cluster1
90,CdS2,2010,M,-1.514464,-0.3628,-0.514568,-0.247409,LS,EsameMatematica,-0.078305,cluster2
91,CdS2,2010,M,0.066509,-0.3628,-0.514568,1.048642,IT,EsameMatematica,0.93139,cluster0
92,CdS2,2010,M,-0.611051,-1.65322,-1.584738,-2.603863,IT,'Non superato',-1.822323,cluster3
93,CdS2,2010,M,0.969922,0.28241,0.249839,0.577351,LS,EsameMatematica,0.839599,cluster0
94,CdS2,2010,F,-1.514464,-1.00801,-0.820331,-0.483054,LS,'Non superato',-1.822323,cluster3
95,CdS2,2010,M,-0.159344,-1.169312,-1.278975,-0.247409,LS,EsameMatematica,0.380647,cluster2
96,CdS2,2010,M,-1.288611,-1.00801,-1.126094,-0.483054,IT,EsameMatematica,0.472438,cluster2
97,CdS2,2010,M,-1.740318,-1.00801,-1.126094,0.223882,IP,EsameMatematica,0.013485,cluster2
98,CdS3,2010,F,-0.385198,0.92762,1.167127,0.341705,LS,EsameMatematica,0.472438,cluster0
99,CdS3,2010,F,-0.836904,-0.040195,0.096957,0.223882,LS,EsameMatematica,0.288857,cluster0
100,CdS3,2010,M,1.421629,1.411528,1.320008,0.930819,LS,EsameMatematica,1.02318,cluster1
101,CdS3,2010,F,-0.611051,-1.65322,-1.584738,-2.603863,LS,'Non superato',-1.822323,cluster3
102,CdS3,2010,M,-0.611051,-0.040195,-0.055924,-0.129586,LS,EsameMatematica,0.380647,cluster0
103,CdS3,2010,F,0.292362,-0.846707,0.096957,0.459528,IT,EsameMatematica,0.564228,cluster2
