CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS1,2012,M,22.00,12,15,29,LS,EsameMatematica,24,12
CdS1,2012,M,21.00,18,21,22,LS,EsameMatematica,22,12
CdS1,2012,M,21.00,27,30,21,LS,EsameMatematica,18,12
CdS1,2012,F,14.00,57,60,26,LC,EsameMatematica,26,12
CdS1,2012,M,22.00,57,60,27,LS,EsameMatematica,30,12
CdS1,2012,M,18.00,39,39,22,LS,,,
CdS1,2012,F,17.00,33,33,21,LS,EsameMatematica,23,12
CdS1,2012,M,25.00,63,66,31,LS,EsameMatematica,31,12
CdS1,2012,M,21.00,57,60,25,LS,EsameMatematica,25,12
CdS1,2012,M,23.00,57,60,29,LS,EsameMatematica,28,12
CdS1,2012,F,18.00,33,36,24,LS,EsameMatematica,24,12
CdS1,2012,M,15.00,45,81,23,LS,EsameMatematica,22,12
CdS1,2012,M,20.00,57,60,28,LS,EsameMatematica,26,12
CdS1,2012,M,22.00,57,60,30,LS,EsameMatematica,31,12
CdS1,2012,M,12.00,18,21,21,LS,,,
CdS1,2012,M,21.00,57,60,29,LS,EsameMatematica,31,12
CdS1,2012,M,21.00,57,57,27,LC,EsameMatematica,27,12
CdS1,2012,M,13.00,39,42,22,LS,EsameMatematica,19,12
CdS1,2012,M,9.00,36,72,23,LS,EsameMatematica,24,12
CdS1,2012,M,17.00,51,54,23,LS,EsameMatematica,20,12
CdS1,2012,M,15.00,45,45,22,LS,EsameMatematica,24,12
CdS1,2012,F,13.00,45,48,25,LS,EsameMatematica,24,12
CdS1,2012,M,11.00,48,48,26,IT,EsameMatematica,27,12
CdS1,2012,M,24.00,57,60,30,LS,EsameMatematica,28,12
CdS1,2012,M,14.00,33,87,25,IT,EsameMatematica,23,12
CdS1,2012,F,18.00,57,60,26,LS,EsameMatematica,27,12
CdS1,2012,F,19.00,24,27,24,LS,EsameMatematica,23,12
CdS1,2012,M,23.00,63,66,29,LS,EsameMatematica,27,12
CdS1,2012,F,18.00,24,24,22,XX,,,
