@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric

@data
CdS2,2011,M,0.52,36,36,28,TC,EsameMatematica,21
CdS2,2011,M,0.68,24,27,27,LS,EsameMatematica,26
CdS2,2011,M,0.48,57,57,27,IP,EsameMatematica,30
CdS2,2011,M,0.48,24,24,22,Altro,'Non superato',0
CdS2,2011,M,0.64,33,33,23,LS,EsameMatematica,18
CdS2,2011,M,0.44,36,39,27,LS,EsameMatematica,26
CdS2,2011,F,0.8,0,3,0,LS,'Non superato',0
CdS2,2011,M,0.52,36,39,24,LS,EsameMatematica,24
CdS2,2011,M,0.72,12,12,23,LS,EsameMatematica,21
CdS2,2011,M,0.52,0,3,0,LS,EsameMatematica,20
CdS2,2011,M,0.68,57,60,23,IT,EsameMatematica,26
CdS2,2011,M,0.64,24,27,23,IT,EsameMatematica,20
CdS2,2011,M,0.48,24,27,24,LC,EsameMatematica,27
CdS2,2011,M,0.64,48,51,27,LS,EsameMatematica,26
CdS2,2011,M,0.76,24,24,24,LS,EsameMatematica,23
CdS2,2011,M,0.64,12,15,20,IT,'Non superato',0
CdS2,2011,M,0.68,36,36,29,IT,EsameMatematica,30
CdS2,2011,M,0.52,24,24,23,TC,EsameMatematica,20
CdS2,2011,M,0.68,24,27,23,Altro,EsameMatematica,24
CdS2,2011,M,0.8,36,36,26,IT,EsameMatematica,24
CdS2,2011,M,0.56,12,12,27,IT,EsameMatematica,27
CdS2,2011,M,0,24,24,24,LS,EsameMatematica,24
CdS2,2011,M,0.76,57,60,25,LS,EsameMatematica,28
CdS2,2011,M,0.68,12,15,25,LS,EsameMatematica,26
CdS2,2011,M,0.56,12,12,24,LS,EsameMatematica,23
CdS2,2011,M,0.48,48,48,27,IT,EsameMatematica,25
CdS2,2011,M,0.76,33,36,26,LS,EsameMatematica,28
CdS2,2011,M,0.56,24,24,25,LS,'Non superato',0
CdS2,2011,M,0.28,0,3,0,Altro,'Non superato',0
CdS2,2011,F,0.48,12,12,27,TC,'Non superato',0
CdS2,2011,M,0.72,12,12,26,IT,EsameMatematica,26
CdS2,2011,M,0.68,24,24,25,IT,EsameMatematica,27
CdS3,2011,M,0.56,15,27,23,LS,'Non superato',0
CdS3,2011,F,0.88,48,51,27,LS,EsameMatematica,27
CdS3,2011,F,0.76,15,15,18,Altro,EsameMatematica,20
CdS3,2011,M,0.96,48,51,26,LC,EsameMatematica,25
CdS3,2011,M,0.48,15,18,20,IT,EsameMatematica,19
CdS3,2011,F,0.52,48,51,27,LS,EsameMatematica,29
CdS3,2011,M,0.92,48,51,30,LS,EsameMatematica,31
CdS3,2011,F,0.84,48,51,30,LS,EsameMatematica,31
CdS3,2011,M,0.92,39,42,30,LS,EsameMatematica,30
CdS3,2011,F,0.64,0,3,0,TC,'Non superato',0
CdS3,2011,M,1,57,60,29,LS,EsameMatematica,31
CdS3,2011,M,0.92,48,51,29,LS,EsameMatematica,29
CdS3,2011,M,0.88,39,39,27,LS,EsameMatematica,25
CdS3,2011,M,0.88,39,42,25,LS,EsameMatematica,27
CdS3,2011,F,0.84,39,42,23,LS,EsameMatematica,26
CdS3,2011,F,0.92,30,33,25,LS,EsameMatematica,24
CdS3,2011,F,0.92,30,33,27,LS,EsameMatematica,27
CdS3,2011,M,1,15,18,30,LS,EsameMatematica,30
CdS3,2011,F,0.68,0,3,0,TC,'Non superato',0
CdS3,2011,M,1,39,42,29,LS,EsameMatematica,30
CdS3,2011,M,0.72,48,51,24,LC,EsameMatematica,24
CdS3,2011,F,0.52,39,42,25,LC,EsameMatematica,21
CdS3,2011,M,0.84,18,21,24,LS,'Non superato',0
CdS3,2011,M,0.76,48,51,29,LS,EsameMatematica,28
CdS3,2011,F,0.72,0,5,0,LC,'Non superato',0
CdS3,2011,F,0.8,39,42,21,LS,EsameMatematica,20
CdS3,2011,M,0.96,15,18,18,LS,EsameMatematica,18
CdS3,2011,F,0.64,0,3,0,LS,'Non superato',0
